Product Component ID,Product ID,Quantity,Measurement,Component ID,Section,Group,Side
521,F127,1,Each,1,Top,Frame,
522,F127,1,Each,1,Bottom,Frame,
523,F127,1,Each,2,Side,Frame,
524,F127,1,Each,3,Side,Frame,
525,F127,2,Each,5,Center,Internal,
526,F127,6,Each,7,Top,Internal,
527,F127,6,Each,7,Bottom,Internal,
528,F127,1,Each,32,Top,Design,
529,F127,1,Each,32,Bottom,Design,
530,F127,1,Each,9,Top,Final,
531,F127,1,Each,9,Bottom,Final,
532,F127,1,Each,10,Center,Final,
533,F127,1,Each,27,Top,Final,
562,F130,1,Each,1,Top,Frame,
563,F130,1,Each,1,Bottom,Frame,
564,F130,1,Each,2,Side,Frame,
565,F130,1,Each,3,Side,Frame,
566,F130,2,Each,5,Center,Internal,
567,F130,5,Each,7,Top,Internal,
568,F130,5,Each,7,Bottom,Internal,
569,F130,4,Each,29,Top,Design,
570,F130,4,Each,29,Bottom,Design,
571,F130,1,Each,28,Center,Design,
572,F130,1,Each,9,Top,Final,
573,F130,1,Each,9,Bottom,Final,
574,F130,1,Each,10,Center,Final,
575,F130,1,Each,27,Top,Final,
604,F133,1,Each,1,Top,Frame,
605,F133,1,Each,1,Bottom,Frame,
606,F133,1,Each,2,Side,Frame,
607,F133,1,Each,3,Side,Frame,
608,F133,2,Each,5,Center,Internal,
609,F133,6,Each,7,Top,Internal,
610,F133,6,Each,7,Bottom,Internal,
611,F133,1,Each,35,Top,Design,
612,F133,1,Each,35,Bottom,Design,
613,F133,1,Each,36,Center,Design,
614,F133,1,Each,9,Top,Final,
615,F133,1,Each,9,Bottom,Final,
616,F133,1,Each,10,Center,Final,
617,F133,1,Each,27,Top,Final,
618,F134,1,Each,1,Top,Frame,
619,F134,1,Each,1,Bottom,Frame,
620,F134,1,Each,2,Side,Frame,
621,F134,1,Each,3,Side,Frame,
622,F134,2,Each,5,Center,Internal,
623,F134,6,Each,7,Top,Internal,
624,F134,6,Each,7,Bottom,Internal,
625,F134,1,Each,43,Top,Design,
626,F134,1,Each,43,Bottom,Design,
627,F134,1,Each,36,Center,Design,
628,F134,1,Each,9,Top,Final,
629,F134,1,Each,9,Bottom,Final,
630,F134,1,Each,10,Center,Final,
631,F134,1,Each,27,Top,Final,
632,F135,1,Each,1,Top,Frame,
633,F135,1,Each,1,Bottom,Frame,
634,F135,1,Each,2,Side,Frame,
635,F135,1,Each,3,Side,Frame,
636,F135,2,Each,1,Center,Internal,
637,F135,5,Each,7,Top,Internal,
638,F135,5,Each,7,Bottom,Internal,
639,F135,2,Each,71,Top,Design,
640,F135,2,Each,71,Bottom,Design,
641,F135,1,Each,9,Top,Final,
642,F135,1,Each,9,Bottom,Final,
643,F135,1,Each,10,Center,Final,
644,F135,1,Each,27,Top,Final,
677,F138,1,Each,1,Top,Frame,
678,F138,1,Each,1,Bottom,Frame,
679,F138,1,Each,2,Side,Frame,
680,F138,1,Each,3,Side,Frame,
681,F138,2,Each,5,Center,Internal,
682,F138,5,Each,7,Top,Internal,
683,F138,5,Each,7,Bottom,Internal,
684,F138,2,Each,32,Top,Design,
685,F138,2,Each,32,Bottom,Design,
686,F138,1,Each,9,Top,Final,
687,F138,1,Each,9,Bottom,Final,
688,F138,1,Each,10,Center,Final,
689,F138,1,Each,27,Top,Final,
719,F141,1,Each,1,Top,Frame,
720,F141,1,Each,1,Bottom,Frame,
721,F141,1,Each,2,Side,Frame,
722,F141,1,Each,3,Side,Frame,
723,F141,2,Each,5,Center,Internal,
724,F141,6,Each,7,Top,Internal,
725,F141,6,Each,7,Bottom,Internal,
726,F141,2,Each,31,Top,Design,
727,F141,1,Each,102,Top,Design,
728,F141,2,Each,31,Bottom,Design,
729,F141,1,Each,102,Bottom,Design,
730,F141,1,Each,36,Center,Design,
731,F141,1,Each,9,Top,Final,
732,F141,1,Each,9,Bottom,Final,
733,F141,1,Each,10,Center,Final,
734,F141,1,Each,27,Top,Final,
779,F145,1,Each,1,Top,Frame,
780,F145,1,Each,1,Bottom,Frame,
781,F145,1,Each,2,Side,Frame,
782,F145,1,Each,3,Side,Frame,
786,F145,2,Each,5,Center,Internal,
788,F145,1,Each,9,Top,Final,
789,F145,1,Each,9,Bottom,Final,
